"","value"
"172","https://lopezobrador.org.mx/2019/12/16/version-estenografica-salario-minimo-2020-en-palacio-nacional/"
"173","https://lopezobrador.org.mx/2019/12/16/version-estenografica-sexto-congreso-internacional-de-innovacion-educativa-en-monterrey-nuevo-leon/"
"174","https://lopezobrador.org.mx/2019/12/16/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-2-2/"
"175","https://lopezobrador.org.mx/2019/12/15/version-estenografica-sembrando-vida-asamblea-ejidal-en-hidalgotitlan-veracruz/"
"176","https://lopezobrador.org.mx/2019/12/14/version-estenografica-reunion-con-equipo-tecnico-sembrando-vida-en-coatzacoalcos-veracruz/"
"177","https://lopezobrador.org.mx/2019/12/14/version-estenografica-sembrando-vida-asamblea-ejidal-en-jalapa-tabasco/"
"178","https://lopezobrador.org.mx/2019/12/13/version-estenografica-sembrando-vida-asamblea-ejidal-en-teapa-tabasco/"
"179","https://lopezobrador.org.mx/2019/12/13/version-estenografica-sembrando-vida-asamblea-ejidal-en-amatan-chiapas/"
"180","https://lopezobrador.org.mx/2019/12/13/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-217/"
"181","https://lopezobrador.org.mx/2019/12/12/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-216/"
"182","https://lopezobrador.org.mx/2019/12/11/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-215/"
"183","https://lopezobrador.org.mx/2019/12/10/version-estenografica-firma-del-protocolo-modificatorio-al-tratado-entre-mexico-estados-unidos-y-canada/"
"184","https://lopezobrador.org.mx/2019/12/10/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-214/"
"185","https://lopezobrador.org.mx/2019/12/09/version-estenografica-ceremonia-de-entrega-de-los-premios-de-artes-ciencia-y-cultura/"
"186","https://lopezobrador.org.mx/2019/12/09/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-213/"
"187","https://lopezobrador.org.mx/2019/12/06/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-212/"
"188","https://lopezobrador.org.mx/2019/12/05/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-211/"
"189","https://lopezobrador.org.mx/2019/12/04/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-210/"
"190","https://lopezobrador.org.mx/2019/12/03/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-209/"
"191","https://lopezobrador.org.mx/2019/12/02/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-208/"
"192","https://lopezobrador.org.mx/2019/12/01/discurso-informe-primer-ano-de-gobierno/"
